a   Ajax, addEventListener, alert
b   Babel, blur, break,
c   Closure, clearTimeout, console
d   DOM, delete, document
e   ES6, encodeURI, event
f   filter, fetch, function, frames
g   GET, getEventListeners,
h   hide, hasOwnProperty,
i   isomorphic, isNaN, instanceof, innerHeight
j   jQuery
k   keyup, keys
l   localStorage, length
m   mouseover
o   on, outerHeight,
p   prepend, parseFloat, prompt
q   queue
r   remove, removeEventListener, requestAnimationFrame
s   show, screen, scroll, setInterval
t   traverse, toString, try, top
u   undefined
v   val, var
w   when, window
x   x-tag
y   yarn
n   navigator
z   z-index

JavaScript
